На данном временном интервале наши пристрастия — горные двухподвесочные чтобы и по лестницам супермаркета можно было спуститься и сквозь лес пробиться и на трассе двадцать километров одолеть без усталости .,3
Тёмный лес шумел кругом .,3
И сразу увидел белые дикие горы и высокий колючий лес из которого вылез огромный рыжий и лохматый дядька с кривыми бивнями .,0
С острым точно лезвие до дрожи сердечным чувством ― поля простор и русский лес и родные дали с затерянными в них редкими огоньками .,0
Эта снежная девочка летом идёт с подружками в лес по ягоды и либо теряется в лесу ( и в этом случае её спасают звери привезя её на себе домой ) либо тает прыгая через костёр ( по всей видимости купальский ) .,1
Гаишники стреляли по убегавшим в лес Немову и Михайлову .,1
Воспользовавшись этим Дубов рванул в лес .,1
Будь моя воля я организаторов сходок надолго отправил бы валить лес .,3
А утром они увидели такую нарядную ёлку и столько подарков под ней - что их хватило бы на весь лес .,1
Но не стоит отчаиваться оказывается в контейнере можно создать самый настоящий лес из деревьев и кустарников который декоративен круглый год .,3
Сегодня он стоит у входа в дом завтра вы ждёте гостей и пристроили его у беседки или площадки для отдыха или составив несколько контейнеров вместе создали сказочный лес для маленького сынишки .,3
Соловей птичка - невеличка а заголосит так лес дрожит .,3
Дальше в лес - больше дров .,1
" Двое оставшихся у переезда бандитов посадили секьюрити и шофёра на заднее сиденье " " Мерседеса " " и вывезли в лес у деревни Зайцево Одинцовского района ― там преступники вкололи пленникам сильные дозы снотворного и скрылись . ",1
Ирина вышла из дома и пошла в лес .,1
Анна побрела в лес .,1
Свернула в лес к знакомому муравейнику .,1
И конечно прогулки в лес и игры в гольф и созерцание гор …,1
" В рассказе " " На ялике " " в первом варианте была фраза ― я уж её не помню ― где говорилось о том как ялик шёл через Неву падали осколки поднимая фонтаны воды и было похоже что мы плывём сквозь лес где деревья из воды . ",2
Метафора очень удачная но не кажется ли вам А < лексей > И < ванович > что лес ― слишком гиперболично .,2
Выбравшись из мрачных сырых поутру лесных дебрей где они проблуждали половину ночи Гусаков облегчённо вздохнул : лес кончился перед ним раскинулось поле .,0
Потом вышли на полевую дорожку привёдшую их в большой смешанный лес из которого на рассвете выбрались на это холмистое поле .,0
Да вон через лес .,3
Вскоре они вошли в лес и Костя свернул с дороги на едва заметную в зарослях стёжку ― повёл напрямик .,1
Заимев землю вряд ли они пойдут в лес помогать партизанам ― будут ковыряться в поле .,1
Зимний лес сверкает морозными узорами .,3
А вот пейзажей особых с подъёма не открывается ― всё загораживает лес .,3
На одном был изображён зимний лес и упряжка лошадей за которой гнались волки .,0
вишни падающими яблоками огурцами патиссонами кабачками первыми клубнями молодой картошки заготовкой варений походами в лес за грибами и купанием .,1
Потом Колюня вспоминал дорогу жаркую пыльную они идут по ней с мамой над дорогой плавится течёт воздух и в его дымке дрожит далеко за кромкой поля лес .,0
А когда выполнял свою работу его отпускали гулять шли с ним на озеро или в лес .,1
" Беляево " " было конечной станцией метро а за девятиэтажным блочным зданием хуже которого были в Москве лишь пятиэтажные хрущобы начинался и тянулся за окружную дорогу до самой Оки и дальше до Дикого Поля и скифских степей курганов и каменных баб непроходимый лес в нём катался новосёл на лыжах и по вечерам ему мерещились волчьи глаза и глухой вой . ",0
" Все они были похожи как близнецы : та же дорога тот же асфальт обочины лес косогоры Ока заправки чашка чаю в придорожной " " заезжаловке " " а потом жёлтое худое лицо Павла на серой подушке погасшие глаза в которых не было ничего что могло бы назваться жизнью и голос который нужно было бы называть шелестом : " " Ладно ладно … всё нормально чего там … ",0
Я гнал Асечку дальше и дальше по дороге которая то кривилась и тогда становилась видна только на несколько сот метров вперёд то совершенно выправлялась и в этом случае простригала лес на вершинах покатых седых холмов горбящихся до горизонта .,3
Окно смотрело всё на то же шоссе и поле и чёрный лес за полем ― всё одинаково заштрихованное белыми карандашами снега .,0
Шли в лес как можно дальше ставили палатки разводили костры и пели под гитару .,1
" Советская власть не даёт нам делать то что мы хотим ― но делать то чего она от нас хочет мы тоже не станем : хрена с маслом ; мы на всё положим с прикладом пойдём в лес и будем орать песни под ёлкой ! ",1
Мы ночью в лес ходили …,1
Лес поле пруд соединялись в её опыте с тяжёлой работой : в лес посылали собирать ягоду для продажи в поле ― помогать на уборке на пруд ― полоскать бельё .,1
Как - то мы с отцом приехали к нему на дачу и отправились вместе с ним на прогулку в лес .,1
Заядлый курильщик Георгий Семёнович держал в левой руке пепельницу и стряхивал в неё пепел не считая возможным засорять даже таким образом лес …,0
" Очевидно это различение изучения и понимания Пушкина " " эрудиции " " и " " критики " " как принципов и задач не вполне " " совпадающих " " было введено Пумпянским недаром если наше знание о Пушкине не может его преодолеть до сих пор ; очевидно здесь имеет место процесс подобный тому что называется герменевтическим кругом ( это понятие уже было названо ) когда целое собирается из частей но к этим последним ведёт интуиция целого ( " " лес " " и ",2
Я вспомнил лес уходящую влево лыжню и осмысленные глаза своих соотечественников укрывшихся в чаще от дьявольской несвободы мира .,2
Гарри утомил семейство Хэндерсонов настолько что Джордж и Нэнси выгнали его в лес .,1
